CustomerID,Gender,Age Category,Age,Annual Income (k$),Spending Score (1-100)
1,Male,<20,19,15,39
2,Male,20-25,21,15,81
3,Female,20-25,20,16,6
4,Female,20-25,23,16,77
5,Female,25-35,31,17,40
6,Female,20-25,22,17,76
7,Female,35-45,35,18,6
8,Female,20-25,23,18,94
9,Male,55+,64,19,3
10,Female,25-35,30,19,72
11,Male,55+,67,19,14
12,Female,35-45,35,19,99
13,Female,55+,58,20,15
14,Female,20-25,24,20,77
15,Male,35-45,37,20,13
16,Male,20-25,22,20,79
17,Female,35-45,35,21,35
18,Male,20-25,20,21,66
19,Male,45-55,52,23,29
20,Female,35-45,35,23,98
21,Male,35-45,35,24,35
22,Male,25-35,25,24,73
23,Female,45-55,46,25,5
24,Male,25-35,31,25,73
25,Female,45-55,54,28,14
26,Male,25-35,29,28,82
27,Female,45-55,45,28,32
28,Male,35-45,35,28,61
29,Female,35-45,40,29,31
30,Female,20-25,23,29,87
31,Male,55+,60,30,4
32,Female,20-25,21,30,73
33,Male,45-55,53,33,4
34,Male,<20,18,33,92
35,Female,45-55,49,33,14
36,Female,20-25,21,33,81
37,Female,35-45,42,34,17
38,Female,25-35,30,34,73
39,Female,35-45,36,37,26
40,Female,20-25,20,37,75
41,Female,55+,65,38,35
42,Male,20-25,24,38,92
43,Male,45-55,48,39,36
44,Female,25-35,31,39,61
45,Female,45-55,49,39,28
46,Female,20-25,24,39,65
47,Female,45-55,50,40,55
48,Female,25-35,27,40,47
49,Female,25-35,29,40,42
50,Female,25-35,31,40,42
51,Female,45-55,49,42,52
52,Male,25-35,33,42,60
53,Female,25-35,31,43,54
54,Male,55+,59,43,60
55,Female,45-55,50,43,45
56,Male,45-55,47,43,41
57,Female,45-55,51,44,50
58,Male,55+,69,44,46
59,Female,25-35,27,46,51
60,Male,45-55,53,46,46
61,Male,55+,70,46,56
62,Male,<20,19,46,55
63,Female,55+,67,47,52
64,Female,45-55,54,47,59
65,Male,55+,63,48,51
66,Male,<20,18,48,59
67,Female,35-45,43,48,50
68,Female,55+,68,48,48
69,Male,<20,19,48,59
70,Female,25-35,32,48,47
71,Male,55+,70,49,55
72,Female,45-55,47,49,42
73,Female,55+,60,50,49
74,Female,55+,60,50,56
75,Male,55+,59,54,47
76,Male,25-35,26,54,54
77,Female,45-55,45,54,53
78,Male,35-45,40,54,48
79,Female,20-25,23,54,52
80,Female,45-55,49,54,42
81,Male,55+,57,54,51
82,Male,35-45,38,54,55
83,Male,55+,67,54,41
84,Female,45-55,46,54,44
85,Female,20-25,21,54,57
86,Male,45-55,48,54,46
87,Female,55+,55,57,58
88,Female,20-25,22,57,55
89,Female,25-35,34,58,60
90,Female,45-55,50,58,46
91,Female,55+,68,59,55
92,Male,<20,18,59,41
93,Male,45-55,48,60,49
94,Female,35-45,40,60,40
95,Female,25-35,32,60,42
96,Male,20-25,24,60,52
97,Female,45-55,47,60,47
98,Female,25-35,27,60,50
99,Male,45-55,48,61,42
